rules,support,confidence,coverage,lift,count
{Cu} => {Oxidized N Ratio_0~25},0.040298507,0.964285714,0.041791045,0.99702381,27
{Raman ID/IG Ratio_~0.8} => {Metal_Free},0.032835821,0.75862069,0.043283582,3.216935836,22
{Raman ID/IG Ratio_~0.8} => {none},0.032835821,0.75862069,0.043283582,3.216935836,22
{Raman ID/IG Ratio_~0.8} => {Metal-N Coordination Number (XAS)_0~2},0.032835821,0.75862069,0.043283582,3.061902784,22
{Raman ID/IG Ratio_~0.8} => {Acid Wash_not},0.040298507,0.931034483,0.043283582,1.681383028,27
{Raman ID/IG Ratio_~0.8} => {disqualified},0.031343284,0.724137931,0.043283582,1.155172414,21
{Raman ID/IG Ratio_~0.8} => {ZIF or MOF Derived_not},0.041791045,0.965517241,0.043283582,1.322896834,28
{Raman ID/IG Ratio_~0.8} => {Nafion117},0.035820896,0.827586207,0.043283582,1.113419194,24
{Raman ID/IG Ratio_~0.8} => {Glassy Carbon},0.034328358,0.793103448,0.043283582,1.0564201,23
{Raman ID/IG Ratio_~0.8} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.034328358,0.793103448,0.043283582,0.957440199,23
{Raman ID/IG Ratio_~0.8} => {Hard or Soft Templated_not},0.041791045,0.965517241,0.043283582,1.128964314,28
{Raman ID/IG Ratio_~0.8} => {Biomass or other Organic Derived_not},0.041791045,0.965517241,0.043283582,1.119198186,28
{Raman ID/IG Ratio_~0.8} => {Polymer Derived_not},0.043283582,1,0.043283582,1.131756757,29
{Raman ID/IG Ratio_~0.8} => {Carbon Black Derived_not},0.041791045,0.965517241,0.043283582,1.07816092,28
{Raman ID/IG Ratio_~0.8} => {H-type Cell},0.040298507,0.931034483,0.043283582,0.971640348,27
{Raman ID/IG Ratio_~0.8} => {Oxidized N Ratio_0~25},0.043283582,1,0.043283582,1.033950617,29
{Main Transition Metal Content (wt. %)_10~} => {Nitrogen Cotent (wt. %)_8~},0.037313433,0.806451613,0.046268657,3.197175033,25
{Main Transition Metal Content (wt. %)_10~} => {Ni},0.037313433,0.806451613,0.046268657,2.433885498,25
{Main Transition Metal Content (wt. %)_10~} => {BET Surface Area (m2/g)_0~500},0.032835821,0.709677419,0.046268657,1.864642631,22
{Main Transition Metal Content (wt. %)_10~} => {Catalyst Loading (mg cm-2)_0.5~1},0.032835821,0.709677419,0.046268657,1.523986766,22
{Main Transition Metal Content (wt. %)_10~} => {Electrolyte Concentration (M)_0.5},0.03880597,0.838709677,0.046268657,1.624090994,26
{Main Transition Metal Content (wt. %)_10~} => {Electrolyte pH_7~8},0.034328358,0.741935484,0.046268657,1.432555545,23
{Main Transition Metal Content (wt. %)_10~} => {Rising Rate (¡ãC min-1)_4~8},0.031343284,0.677419355,0.046268657,1.274918449,21
{Main Transition Metal Content (wt. %)_10~} => {Graphitic N Ratio_0~25},0.031343284,0.677419355,0.046268657,1.191262383,21
{Main Transition Metal Content (wt. %)_10~} => {Electrode Area cm2_~1},0.043283582,0.935483871,0.046268657,1.268773671,29
{Main Transition Metal Content (wt. %)_10~} => {Nafion117},0.035820896,0.774193548,0.046268657,1.041585698,24
{Main Transition Metal Content (wt. %)_10~} => {Glassy Carbon},0.03880597,0.838709677,0.046268657,1.11716796,26
{Main Transition Metal Content (wt. %)_10~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.03880597,0.838709677,0.046268657,1.012496367,26
{Main Transition Metal Content (wt. %)_10~} => {Hard or Soft Templated_not},0.046268657,1,0.046268657,1.169284468,31
{Main Transition Metal Content (wt. %)_10~} => {Biomass or other Organic Derived_not},0.044776119,0.967741935,0.046268657,1.121776984,30
{Main Transition Metal Content (wt. %)_10~} => {Polymer Derived_not},0.043283582,0.935483871,0.046268657,1.058740192,29
{Main Transition Metal Content (wt. %)_10~} => {Carbon Black Derived_not},0.044776119,0.967741935,0.046268657,1.080645161,30
{Main Transition Metal Content (wt. %)_10~} => {H-type Cell},0.043283582,0.935483871,0.046268657,0.976283791,29
{Main Transition Metal Content (wt. %)_10~} => {Oxidized N Ratio_0~25},0.046268657,1,0.046268657,1.033950617,31
{Main Transition Metal Content (wt. %)_5~10} => {Raman ID/IG Ratio_1~1.2},0.035820896,0.705882353,0.050746269,1.473336998,24
{Main Transition Metal Content (wt. %)_5~10} => {Electrolyte Concentration (M)_0.5},0.035820896,0.705882353,0.050746269,1.366882013,24
{Main Transition Metal Content (wt. %)_5~10} => {Electrolyte pH_7~8},0.034328358,0.676470588,0.050746269,1.306153585,23
{Main Transition Metal Content (wt. %)_5~10} => {Metal-N Coordination Number (XAS)_3~4},0.031343284,0.617647059,0.050746269,1.162425644,21
{Main Transition Metal Content (wt. %)_5~10} => {Graphitic N Ratio_0~25},0.044776119,0.882352941,0.050746269,1.55164428,30
{Main Transition Metal Content (wt. %)_5~10} => {ZIF or MOF Derived_not},0.034328358,0.676470588,0.050746269,0.926861542,23
{Main Transition Metal Content (wt. %)_5~10} => {Electrode Area cm2_~1},0.041791045,0.823529412,0.050746269,1.116932603,28
{Main Transition Metal Content (wt. %)_5~10} => {Nafion117},0.035820896,0.705882353,0.050746269,0.949681077,24
{Main Transition Metal Content (wt. %)_5~10} => {Glassy Carbon},0.041791045,0.823529412,0.050746269,1.096947725,28
{Main Transition Metal Content (wt. %)_5~10} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.040298507,0.794117647,0.050746269,0.958664547,27
{Main Transition Metal Content (wt. %)_5~10} => {Hard or Soft Templated_not},0.049253731,0.970588235,0.050746269,1.134893748,33
{Main Transition Metal Content (wt. %)_5~10} => {Biomass or other Organic Derived_not},0.047761194,0.941176471,0.050746269,1.090983106,32
{Main Transition Metal Content (wt. %)_5~10} => {Carbon Nanofiber/Nanotubes_not},0.035820896,0.705882353,0.050746269,0.809830782,24
{Main Transition Metal Content (wt. %)_5~10} => {Polymer Derived_not},0.047761194,0.941176471,0.050746269,1.06518283,32
{Main Transition Metal Content (wt. %)_5~10} => {Carbon Black Derived_not},0.047761194,0.941176471,0.050746269,1.050980392,32
{Main Transition Metal Content (wt. %)_5~10} => {H-type Cell},0.049253731,0.970588235,0.050746269,1.012919186,33
{Main Transition Metal Content (wt. %)_5~10} => {Oxidized N Ratio_0~25},0.050746269,1,0.050746269,1.033950617,34
{Electrolyte Concentration (M)_1} => {Electrolyte pH_8~},0.056716418,1,0.056716418,16.75,38
{Electrolyte pH_8~} => {Electrolyte Concentration (M)_1},0.056716418,0.95,0.059701493,16.75,38
{Electrolyte Concentration (M)_1} => {Nafion115},0.032835821,0.578947368,0.056716418,2.603320381,22
{Electrolyte Concentration (M)_1} => {Electrode Area cm2_1~},0.037313433,0.657894737,0.056716418,2.518796992,25
{Electrolyte Concentration (M)_1} => {ZIF or MOF Derived_yes},0.041791045,0.736842105,0.056716418,2.742690058,28
{Electrolyte Concentration (M)_1} => {Rising Rate (¡ãC min-1)_~4},0.040298507,0.710526316,0.056716418,2.299771167,27
{Electrolyte Concentration (M)_1} => {Pyridinic N Ratio_50~75},0.040298507,0.710526316,0.056716418,2.234988881,27
{Metal-N Coordination Number (XAS)_4~6} => {qualified},0.073134328,0.6125,0.119402985,1.648092369,49
{Electrolyte Concentration (M)_1} => {BET Surface Area (m2/g)_500~1000},0.034328358,0.605263158,0.056716418,1.384048859,23
{Electrolyte Concentration (M)_1} => {Metal-N Coordination Number (XAS)_3~4},0.031343284,0.552631579,0.056716418,1.04006505,21
{Electrolyte Concentration (M)_1} => {Acid Wash_not},0.031343284,0.552631579,0.056716418,0.998013903,21
{Electrolyte Concentration (M)_1} => {Graphitic N Ratio_0~25},0.041791045,0.736842105,0.056716418,1.295759083,28
{Electrolyte Concentration (M)_1} => {Pyrrolic N Ratio_0~25},0.041791045,0.736842105,0.056716418,1.207051859,28
{Electrolyte Concentration (M)_1} => {Glassy Carbon},0.053731343,0.947368421,0.056716418,1.261902271,36
{Electrolyte Concentration (M)_1} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.050746269,0.894736842,0.056716418,1.080132764,34
{Electrolyte Concentration (M)_1} => {Hard or Soft Templated_not},0.052238806,0.921052632,0.056716418,1.076972536,35
{Electrolyte Concentration (M)_1} => {Biomass or other Organic Derived_not},0.053731343,0.947368421,0.056716418,1.098160626,36
{Electrolyte Concentration (M)_1} => {Carbon Nanofiber/Nanotubes_not},0.055223881,0.973684211,0.056716418,1.117069214,37
{Electrolyte Concentration (M)_1} => {Polymer Derived_not},0.053731343,0.947368421,0.056716418,1.072190612,36
{Electrolyte Concentration (M)_1} => {Carbon Black Derived_not},0.055223881,0.973684211,0.056716418,1.087280702,37
{Electrolyte Concentration (M)_1} => {H-type Cell},0.046268657,0.815789474,0.056716418,0.851369077,31
{Electrolyte Concentration (M)_1} => {Oxidized N Ratio_0~25},0.056716418,1,0.056716418,1.033950617,38
{Pyrolysis Temperature (¡ãC)_1000~} => {ZIF or MOF Derived_yes},0.040298507,0.692307692,0.058208955,2.576923077,27
{Pyrolysis Temperature (¡ãC)_1000~} => {Pyrolysis Time (h)_~1},0.035820896,0.615384615,0.058208955,1.857241857,24
{Pyrolysis Temperature (¡ãC)_1000~} => {Electrolyte Concentration (M)_0.1},0.044776119,0.769230769,0.058208955,1.853901494,30
{Pyrolysis Temperature (¡ãC)_1000~} => {Electrolyte pH_~7},0.044776119,0.769230769,0.058208955,1.827605019,30
{Pyrolysis Temperature (¡ãC)_1000~} => {BET Surface Area (m2/g)_500~1000},0.032835821,0.564102564,0.058208955,1.289927365,22
{Pyrolysis Temperature (¡ãC)_1000~} => {Catalyst Loading (mg cm-2)_0.5~1},0.032835821,0.564102564,0.058208955,1.211374096,22
{Pyrolysis Temperature (¡ãC)_1000~} => {Rising Rate (¡ãC min-1)_4~8},0.043283582,0.743589744,0.058208955,1.399452607,29
{Pyrolysis Temperature (¡ãC)_1000~} => {Acid Wash_not},0.052238806,0.897435897,0.058208955,1.620706338,35
{Pyrolysis Temperature (¡ãC)_1000~} => {Graphitic N Ratio_0~25},0.031343284,0.538461538,0.058208955,0.946900868,21
{Pyrolysis Temperature (¡ãC)_1000~} => {Pyrrolic N Ratio_0~25},0.034328358,0.58974359,0.058208955,0.966083631,23
{Pyrolysis Temperature (¡ãC)_1000~} => {disqualified},0.046268657,0.794871795,0.058208955,1.268009768,31
{Pyrolysis Temperature (¡ãC)_1000~} => {Electrode Area cm2_~1},0.049253731,0.846153846,0.058208955,1.147617565,33
{Pyrolysis Temperature (¡ãC)_1000~} => {Nafion117},0.044776119,0.769230769,0.058208955,1.034908866,30
{Pyrolysis Temperature (¡ãC)_1000~} => {Glassy Carbon},0.041791045,0.717948718,0.058208955,0.956313402,28
{Pyrolysis Temperature (¡ãC)_1000~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.058208955,1,0.058208955,1.207207207,39
{Pyrolysis Temperature (¡ãC)_1000~} => {Hard or Soft Templated_not},0.058208955,1,0.058208955,1.169284468,39
{Pyrolysis Temperature (¡ãC)_1000~} => {Biomass or other Organic Derived_not},0.052238806,0.897435897,0.058208955,1.040280366,35
{Pyrolysis Temperature (¡ãC)_1000~} => {Carbon Nanofiber/Nanotubes_not},0.055223881,0.948717949,0.058208955,1.088426414,37
{Pyrolysis Temperature (¡ãC)_1000~} => {Polymer Derived_not},0.052238806,0.897435897,0.058208955,1.015679141,35
{Pyrolysis Temperature (¡ãC)_1000~} => {Carbon Black Derived_not},0.053731343,0.923076923,0.058208955,1.030769231,36
{Pyrolysis Temperature (¡ãC)_1000~} => {H-type Cell},0.058208955,1,0.058208955,1.043613707,39
{Pyrolysis Temperature (¡ãC)_1000~} => {Oxidized N Ratio_0~25},0.055223881,0.948717949,0.058208955,0.980927509,37
{Electrolyte pH_8~} => {Nafion115},0.032835821,0.55,0.059701493,2.473154362,22
{Electrolyte pH_8~} => {Electrode Area cm2_1~},0.037313433,0.625,0.059701493,2.392857143,25
{Electrolyte pH_8~} => {ZIF or MOF Derived_yes},0.043283582,0.725,0.059701493,2.698611111,29
{Electrolyte pH_8~} => {Rising Rate (¡ãC min-1)_~4},0.040298507,0.675,0.059701493,2.184782609,27
{Electrolyte pH_8~} => {Pyridinic N Ratio_50~75},0.043283582,0.725,0.059701493,2.280516432,29
{Ni} => {qualified},0.197014925,0.594594595,0.331343284,1.599913166,132
{Electrolyte pH_8~} => {BET Surface Area (m2/g)_500~1000},0.035820896,0.6,0.059701493,1.372013652,24
{Electrolyte pH_8~} => {Metal-N Coordination Number (XAS)_3~4},0.034328358,0.575,0.059701493,1.082162921,23
{Electrolyte pH_8~} => {Acid Wash_not},0.032835821,0.55,0.059701493,0.993261456,22
{Electrolyte pH_8~} => {Graphitic N Ratio_0~25},0.044776119,0.75,0.059701493,1.318897638,30
{Electrolyte pH_8~} => {Pyrrolic N Ratio_0~25},0.044776119,0.75,0.059701493,1.228606357,30
{Electrolyte pH_8~} => {Glassy Carbon},0.056716418,0.95,0.059701493,1.265407555,38
{Electrolyte pH_8~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.053731343,0.9,0.059701493,1.086486486,36
{Electrolyte pH_8~} => {Hard or Soft Templated_not},0.055223881,0.925,0.059701493,1.081588133,37
{Electrolyte pH_8~} => {Biomass or other Organic Derived_not},0.056716418,0.95,0.059701493,1.101211073,38
{Electrolyte pH_8~} => {Carbon Nanofiber/Nanotubes_not},0.058208955,0.975,0.059701493,1.118578767,39
{Electrolyte pH_8~} => {Polymer Derived_not},0.056716418,0.95,0.059701493,1.075168919,38
{Electrolyte pH_8~} => {Carbon Black Derived_not},0.056716418,0.95,0.059701493,1.060833333,38
{Electrolyte pH_8~} => {H-type Cell},0.046268657,0.775,0.059701493,0.808800623,31
{Electrolyte pH_8~} => {Oxidized N Ratio_0~25},0.059701493,1,0.059701493,1.033950617,40
{Metal-N Coordination Number (XAS)_2~3} => {ZIF or MOF Derived_yes},0.032835821,0.55,0.059701493,2.047222222,22
{Metal-N Coordination Number (XAS)_2~3} => {Ni},0.035820896,0.6,0.059701493,1.810810811,24
{Metal-N Coordination Number (XAS)_2~3} => {Catalyst Loading (mg cm-2)_0.5~1},0.032835821,0.55,0.059701493,1.181089744,22
{Metal-N Coordination Number (XAS)_2~3} => {Raman ID/IG Ratio_1~1.2},0.040298507,0.675,0.059701493,1.408878505,27
{Metal-N Coordination Number (XAS)_2~3} => {Electrolyte Concentration (M)_0.5},0.032835821,0.55,0.059701493,1.065028902,22
{Metal-N Coordination Number (XAS)_2~3} => {Electrolyte pH_7~8},0.031343284,0.525,0.059701493,1.013688761,21
{Metal-N Coordination Number (XAS)_2~3} => {Rising Rate (¡ãC min-1)_4~8},0.037313433,0.625,0.059701493,1.176264045,25
{Metal-N Coordination Number (XAS)_2~3} => {Acid Wash_not},0.040298507,0.675,0.059701493,1.219002695,27
{Metal-N Coordination Number (XAS)_2~3} => {Graphitic N Ratio_0~25},0.041791045,0.7,0.059701493,1.230971129,28
{Metal-N Coordination Number (XAS)_2~3} => {disqualified},0.034328358,0.575,0.059701493,0.917261905,23
{Metal-N Coordination Number (XAS)_2~3} => {Electrode Area cm2_~1},0.040298507,0.675,0.059701493,0.91548583,27
{Metal-N Coordination Number (XAS)_2~3} => {Nafion117},0.037313433,0.625,0.059701493,0.840863454,25
{Metal-N Coordination Number (XAS)_2~3} => {Glassy Carbon},0.050746269,0.85,0.059701493,1.132206759,34
{Metal-N Coordination Number (XAS)_2~3} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.052238806,0.875,0.059701493,1.056306306,35
{Metal-N Coordination Number (XAS)_2~3} => {Hard or Soft Templated_not},0.055223881,0.925,0.059701493,1.081588133,37
{Metal-N Coordination Number (XAS)_2~3} => {Biomass or other Organic Derived_not},0.053731343,0.9,0.059701493,1.043252595,36
{Metal-N Coordination Number (XAS)_2~3} => {Carbon Nanofiber/Nanotubes_not},0.058208955,0.975,0.059701493,1.118578767,39
{Metal-N Coordination Number (XAS)_2~3} => {Polymer Derived_not},0.047761194,0.8,0.059701493,0.905405405,32
{Metal-N Coordination Number (XAS)_2~3} => {Carbon Black Derived_not},0.058208955,0.975,0.059701493,1.08875,39
{Metal-N Coordination Number (XAS)_2~3} => {H-type Cell},0.059701493,1,0.059701493,1.043613707,40
{Metal-N Coordination Number (XAS)_2~3} => {Oxidized N Ratio_0~25},0.058208955,0.975,0.059701493,1.008101852,39
{Co} => {Catalyst Loading (mg cm-2)_~0.5},0.034328358,0.534883721,0.064179104,1.493217054,23
{Co} => {Electrolyte Concentration (M)_0.1},0.032835821,0.511627907,0.064179104,1.233060064,22
{Co} => {Electrolyte pH_~7},0.043283582,0.674418605,0.064179104,1.602342075,29
{Co} => {BET Surface Area (m2/g)_500~1000},0.035820896,0.558139535,0.064179104,1.276291769,24
{Co} => {Raman ID/IG Ratio_1~1.2},0.03880597,0.604651163,0.064179104,1.262044483,26
{Co} => {Rising Rate (¡ãC min-1)_4~8},0.035820896,0.558139535,0.064179104,1.050431147,24
{Co} => {Metal-N Coordination Number (XAS)_3~4},0.043283582,0.674418605,0.064179104,1.269270969,29
{Co} => {Pyridinic N Ratio_25~50},0.040298507,0.627906977,0.064179104,1.140102099,27
{Co} => {Acid Wash_not},0.035820896,0.558139535,0.064179104,1.007960885,24
{Co} => {Pyrrolic N Ratio_0~25},0.040298507,0.627906977,0.064179104,1.028600671,27
{Co} => {disqualified},0.046268657,0.720930233,0.064179104,1.150055371,31
{Co} => {ZIF or MOF Derived_not},0.044776119,0.697674419,0.064179104,0.955913825,30
{Co} => {Electrode Area cm2_~1},0.052238806,0.813953488,0.064179104,1.103945015,35
{Co} => {Nafion117},0.046268657,0.720930233,0.064179104,0.969926216,31
{Co} => {Glassy Carbon},0.047761194,0.744186047,0.064179104,0.991261732,32
{Co} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.058208955,0.906976744,0.064179104,1.094908862,39
{Co} => {Hard or Soft Templated_not},0.046268657,0.720930233,0.064179104,0.842972523,31
{Co} => {Biomass or other Organic Derived_not},0.058208955,0.906976744,0.064179104,1.051339825,39
{Co} => {Carbon Nanofiber/Nanotubes_not},0.064179104,1,0.064179104,1.147260274,43
{Co} => {Polymer Derived_not},0.06119403,0.953488372,0.064179104,1.079116908,41
{Co} => {Carbon Black Derived_not},0.049253731,0.76744186,0.064179104,0.856976744,33
{Co} => {H-type Cell},0.059701493,0.930232558,0.064179104,0.970803449,40
{Co} => {Oxidized N Ratio_0~25},0.064179104,1,0.064179104,1.033950617,43
{Pyrolysis Time (h)_2~4} => {Catalyst Loading (mg cm-2)_1~},0.034328358,0.418181818,0.082089552,2.394716395,23
{Pyrolysis Time (h)_2~4} => {Nitrogen Cotent (wt. %)_8~},0.037313433,0.454545455,0.082089552,1.80204411,25
{Pyrolysis Time (h)_2~4} => {Electrode Area cm2_1~},0.050746269,0.618181818,0.082089552,2.366753247,34
{Pyrolysis Time (h)_2~4} => {ZIF or MOF Derived_yes},0.046268657,0.563636364,0.082089552,2.097979798,31
{Pyrolysis Time (h)_2~4} => {Rising Rate (¡ãC min-1)_~4},0.065671642,0.8,0.082089552,2.589371981,44
{Rising Rate (¡ãC min-1)_~4} => {Pyrolysis Time (h)_2~4},0.065671642,0.212560386,0.308955224,2.589371981,44
{Pyrolysis Time (h)_2~4} => {Pyridinic N Ratio_50~75},0.043283582,0.527272727,0.082089552,1.658557405,29
{Pyrolysis Time (h)_2~4} => {Ni},0.031343284,0.381818182,0.082089552,1.152334152,21
{Pyrolysis Time (h)_2~4} => {Catalyst Loading (mg cm-2)_~0.5},0.031343284,0.381818182,0.082089552,1.065909091,21
{qualified} => {Ni},0.197014925,0.530120482,0.371641791,1.599913166,132
{Pyrolysis Time (h)_2~4} => {Nitrogen Cotent (wt. %)_4~8},0.031343284,0.381818182,0.082089552,0.876089664,21
{Pyrolysis Time (h)_2~4} => {BET Surface Area (m2/g)_500~1000},0.059701493,0.727272727,0.082089552,1.663046851,40
{Pyrolysis Time (h)_2~4} => {Acid Wash_yes},0.031343284,0.381818182,0.082089552,0.858450275,21
{Pyrolysis Time (h)_2~4} => {Raman ID/IG Ratio_1~1.2},0.053731343,0.654545455,0.082089552,1.366185217,36
{Pyrolysis Time (h)_2~4} => {Electrolyte Concentration (M)_0.5},0.034328358,0.418181818,0.082089552,0.809774041,23
{Pyrolysis Time (h)_2~4} => {Electrolyte pH_7~8},0.03880597,0.472727273,0.082089552,0.912758711,26
{Pyrolysis Time (h)_2~4} => {Pyridinic N Ratio_25~50},0.032835821,0.4,0.082089552,0.726287263,22
{Pyrolysis Time (h)_2~4} => {Acid Wash_not},0.050746269,0.618181818,0.082089552,1.116393041,34
{Pyrolysis Time (h)_2~4} => {Graphitic N Ratio_0~25},0.052238806,0.636363636,0.082089552,1.119064662,35
{Pyrolysis Time (h)_2~4} => {Pyrrolic N Ratio_0~25},0.050746269,0.618181818,0.082089552,1.012669482,34
{Pyrolysis Time (h)_2~4} => {disqualified},0.046268657,0.563636364,0.082089552,0.899134199,31
{Pyrolysis Time (h)_2~4} => {ZIF or MOF Derived_not},0.035820896,0.436363636,0.082089552,0.597880647,24
{Pyrolysis Time (h)_2~4} => {Electrode Area cm2_~1},0.031343284,0.381818182,0.082089552,0.51785057,21
{Pyrolysis Time (h)_2~4} => {Nafion117},0.053731343,0.654545455,0.082089552,0.880613363,36
{Pyrolysis Time (h)_2~4} => {Glassy Carbon},0.068656716,0.836363636,0.082089552,1.114043015,46
{Pyrolysis Time (h)_2~4} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.07761194,0.945454545,0.082089552,1.141359541,52
{Pyrolysis Time (h)_2~4} => {Hard or Soft Templated_not},0.064179104,0.781818182,0.082089552,0.914167857,43
{Pyrolysis Time (h)_2~4} => {Biomass or other Organic Derived_not},0.079104478,0.963636364,0.082089552,1.11701793,53
{Pyrolysis Time (h)_2~4} => {Carbon Nanofiber/Nanotubes_not},0.076119403,0.927272727,0.082089552,1.063823163,51
{Pyrolysis Time (h)_2~4} => {Polymer Derived_not},0.076119403,0.927272727,0.082089552,1.049447174,51
{Pyrolysis Time (h)_2~4} => {Carbon Black Derived_not},0.082089552,1,0.082089552,1.116666667,55
{Pyrolysis Time (h)_2~4} => {H-type Cell},0.082089552,1,0.082089552,1.043613707,55
{Pyrolysis Time (h)_2~4} => {Oxidized N Ratio_0~25},0.082089552,1,0.082089552,1.033950617,55
{Carbon Black Derived_yes} => {Rising Rate (¡ãC min-1)_8~},0.055223881,0.536231884,0.102985075,3.389390211,37
{Rising Rate (¡ãC min-1)_8~} => {Carbon Black Derived_yes},0.055223881,0.349056604,0.158208955,3.389390211,37
{Carbon Black Derived_yes} => {Catalyst Loading (mg cm-2)_1~},0.034328358,0.333333333,0.102985075,1.908831909,23
{Carbon Black Derived_yes} => {Raman ID/IG Ratio_1.2~},0.043283582,0.420289855,0.102985075,2.38639155,29
{Raman ID/IG Ratio_1.2~} => {Carbon Black Derived_yes},0.043283582,0.245762712,0.176119403,2.38639155,29
