Ionization Potential, Electronegativity,0.19634433,,,,,,,,,,,,,,,,,,,,,,
Ionization Potential, Number of d electrons,0.151518297,,,,,,,,,,,,,,,,,,,,,,
Ionization Potential, ZIF or MOF Derived,0.087997864,,,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Electrolyte pH
Electronegativity, Raman ID/IG Ratio,0.13923063,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, BET Surface Area m2/g,0.186604517,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Pyrolysis Temperature °„C,0.336503262,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Pyrolysis Time h,0.160485696,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Rising Rate °„C min-1,0.066206168,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Electrolyte Concentration M,0.05508986,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Catalyst Loading mg cm-2,0.087832487,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Electrolyte pH,0.114533886,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, ZIF or MOF Derived,0.065088997,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Carbon Nanofiber/Nanotubes,0.042873069,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Carbon Black Derived,0.001425159,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Biomass or other Organic Derived,0.010345481,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Main Transition Metal Content wt. %,0.029455537,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Nitrogen Cotent wt. %,0.146072852,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Metal-N Coordination Number XAS,0.155793638,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Pyridinic N Ratio,0.102780847,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Pyrrolic N Ratio,0.167980166,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Raman ID/IG Ratio,0.081284719,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, BET Surface Area m2/g,0.074133868,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Pyrolysis Temperature °„C,0.059149564,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Pyrolysis Time h,0.066851372,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Rising Rate °„C min-1,0.100505477,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Electrolyte Concentration M,0.001619654,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Catalyst Loading mg cm-2,0.071636951,,,,,,,,,,,,,,,,,,,,,,
Number of d electrons, Electrolyte pH,0.050497599,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Carbon Nanofiber/Nanotubes,0.001399242,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Carbon Black Derived,9.59E-07,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Biomass or other Organic Derived,0.007815879,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Main Transition Metal Content wt. %,0.131467878,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Nitrogen Cotent wt. %,0.297153154,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Metal-N Coordination Number XAS,0.200053402,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Pyridinic N Ratio,0.286035306,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Pyrrolic N Ratio,0.152207038,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Raman ID/IG Ratio,0.026834398,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, BET Surface Area m2/g,0.160493705,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Pyrolysis Temperature °„C,0.094021751,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Pyrolysis Time h,0.028528028,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Rising Rate °„C min-1,0.055920312,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Electrolyte Concentration M,0.036987075,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Catalyst Loading mg cm-2,0.309444474,,,,,,,,,,,,,,,,,,,,,,
ZIF or MOF Derived, Electrolyte pH,0.093904993,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Carbon Black Derived,4.92E-06,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Biomass or other Organic Derived,2.26E-06,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Main Transition Metal Content wt. %,0.152221667,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Nitrogen Cotent wt. %,0.069149802,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Metal-N Coordination Number XAS,0.027519119,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Pyridinic N Ratio,0.11210584,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Pyrrolic N Ratio,0.053579297,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Raman ID/IG Ratio,0.130036149,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, BET Surface Area m2/g,0.042729323,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Pyrolysis Temperature °„C,0.032630218,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Pyrolysis Time h,0.056629757,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Rising Rate °„C min-1,0.233478062,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Electrolyte Concentration M,7.86E-06,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Catalyst Loading mg cm-2,0.04173172,,,,,,,,,,,,,,,,,,,,,,
Carbon Nanofiber/Nanotubes, Electrolyte pH,0.163442046,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Biomass or other Organic Derived,1.04E-05,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Main Transition Metal Content wt. %,0.043567405,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Nitrogen Cotent wt. %,0.017624943,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Metal-N Coordination Number XAS,0.003861606,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Pyridinic N Ratio,0.00936279,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Pyrrolic N Ratio,0.262385657,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Raman ID/IG Ratio,0.005614747,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, BET Surface Area m2/g,0.022561815,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Pyrolysis Temperature °„C,0.105700842,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Pyrolysis Time h,0.000452395,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Rising Rate °„C min-1,0.058954649,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Electrolyte Concentration M,0,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Catalyst Loading mg cm-2,0.055005008,,,,,,,,,,,,,,,,,,,,,,
Carbon Black Derived, Electrolyte pH,2.95E-06,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Main Transition Metal Content wt. %,0.15538065,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Nitrogen Cotent wt. %,0.035602203,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Metal-N Coordination Number XAS,0.278352555,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Pyridinic N Ratio,0.017742859,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Pyrrolic N Ratio,0.041362813,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Raman ID/IG Ratio,0.024108609,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, BET Surface Area m2/g,0.011164752,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Pyrolysis Temperature °„C,0.048860835,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Pyrolysis Time h,0.015182121,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Rising Rate °„C min-1,0.044840724,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Electrolyte Concentration M,0.269577326,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Catalyst Loading mg cm-2,0.001957003,,,,,,,,,,,,,,,,,,,,,,
Biomass or other Organic Derived, Electrolyte pH,0.023299671,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Nitrogen Cotent wt. %,0.124376242,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Metal-N Coordination Number XAS,0.166150212,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Pyridinic N Ratio,0.144110925,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Pyrrolic N Ratio,0.114122127,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Raman ID/IG Ratio,0.111301444,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, BET Surface Area m2/g,0.147303592,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Pyrolysis Temperature °„C,0.096763459,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Pyrolysis Time h,0.176284552,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Rising Rate °„C min-1,0.215848498,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Electrolyte Concentration M,0.044065568,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Catalyst Loading mg cm-2,0.079832727,,,,,,,,,,,,,,,,,,,,,,
Main Transition Metal Content wt. %, Electrolyte pH,0.191748003,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Metal-N Coordination Number XAS,0.145489039,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Pyridinic N Ratio,0.102314085,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Pyrrolic N Ratio,0.121395082,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Raman ID/IG Ratio,0.165340346,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, BET Surface Area m2/g,0.141601405,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Pyrolysis Temperature °„C,0.128167463,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Pyrolysis Time h,0.061073522,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Rising Rate °„C min-1,0.109995677,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Electrolyte Concentration M,0.016340623,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Catalyst Loading mg cm-2,0.077865097,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Cotent wt. %, Electrolyte pH,0.055148407,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Pyridinic N Ratio,0.160485087,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Pyrrolic N Ratio,0.074616227,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Raman ID/IG Ratio,0.108731364,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, BET Surface Area m2/g,0.120826966,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Pyrolysis Temperature °„C,0.10136289,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Pyrolysis Time h,0.388133112,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Rising Rate °„C min-1,0.074619267,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Electrolyte Concentration M,0.013328103,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Catalyst Loading mg cm-2,0.144615078,,,,,,,,,,,,,,,,,,,,,,
Metal-N Coordination Number XAS, Electrolyte pH,0.056681536,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Pyrrolic N Ratio,0.143308337,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Raman ID/IG Ratio,0.082946648,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, BET Surface Area m2/g,0.134710985,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Pyrolysis Temperature °„C,0.093727397,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Pyrolysis Time h,0.062373531,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Rising Rate °„C min-1,0.0756556,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Electrolyte Concentration M,0.035174312,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Catalyst Loading mg cm-2,0.04191244,,,,,,,,,,,,,,,,,,,,,,
Pyridinic N Ratio, Electrolyte pH,0.051826804,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Raman ID/IG Ratio,0.123342741,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, BET Surface Area m2/g,0.12703345,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Pyrolysis Temperature °„C,0.181832643,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Pyrolysis Time h,0.067364448,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Rising Rate °„C min-1,0.08345716,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Electrolyte Concentration M,0.074355827,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Catalyst Loading mg cm-2,0.100085421,,,,,,,,,,,,,,,,,,,,,,
Pyrrolic N Ratio, Electrolyte pH,0.055849965,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, BET Surface Area m2/g,0.106635065,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, Pyrolysis Temperature °„C,0.316324541,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, Pyrolysis Time h,0.040027941,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, Rising Rate °„C min-1,0.175405434,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, Electrolyte Concentration M,0.035743296,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, Catalyst Loading mg cm-2,0.063554045,,,,,,,,,,,,,,,,,,,,,,
Raman ID/IG Ratio, Electrolyte pH,0.083449775,,,,,,,,,,,,,,,,,,,,,,
BET Surface Area m2/g, Pyrolysis Temperature °„C,0.132436986,,,,,,,,,,,,,,,,,,,,,,
BET Surface Area m2/g, Pyrolysis Time h,0.059481316,,,,,,,,,,,,,,,,,,,,,,
BET Surface Area m2/g, Rising Rate °„C min-1,0.19769941,,,,,,,,,,,,,,,,,,,,,,
BET Surface Area m2/g, Electrolyte Concentration M,0.196204257,,,,,,,,,,,,,,,,,,,,,,
BET Surface Area m2/g, Catalyst Loading mg cm-2,0.105768722,,,,,,,,,,,,,,,,,,,,,,
BET Surface Area m2/g, Electrolyte pH,0.053710077,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Temperature °„C, Pyrolysis Time h,0.042593887,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Temperature °„C, Rising Rate °„C min-1,0.203205111,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Temperature °„C, Electrolyte Concentration M,0.064434179,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Temperature °„C, Catalyst Loading mg cm-2,0.04258063,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Temperature °„C, Electrolyte pH,0.180621219,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Time h, Rising Rate °„C min-1,0.0724142,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Time h, Electrolyte Concentration M,1.01E-06,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Time h, Catalyst Loading mg cm-2,0.099907308,,,,,,,,,,,,,,,,,,,,,,
Pyrolysis Time h, Electrolyte pH,0.063220785,,,,,,,,,,,,,,,,,,,,,,
Rising Rate °„C min-1, Electrolyte Concentration M,0.09503533,,,,,,,,,,,,,,,,,,,,,,
Rising Rate °„C min-1, Catalyst Loading mg cm-2,0.124149262,,,,,,,,,,,,,,,,,,,,,,
Rising Rate °„C min-1, Electrolyte pH,0.058871266,,,,,,,,,,,,,,,,,,,,,,
Electrolyte Concentration M, Catalyst Loading mg cm-2,0.064643312,,,,,,,,,,,,,,,,,,,,,,
Electrolyte Concentration M, Electrolyte pH,0.012615965,,,,,,,,,,,,,,,,,,,,,,
Catalyst Loading mg cm-2, Electrolyte pH,0.084855293,,,,,,,,,,,,,,,,,,,,,,
