Title,DOI,Sample Name,Main Transition Metal Type,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Electronic Afiinity,Number of d electrons,Covalent Radius,Second Transition Metal Type,Carbon Material Type,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Second Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),O Content (wt. %),C Content (wt. %),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (～C),Pyrolysis Time (h),Rising Rate (～C min-1),Product,Electrolyte,Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane,Nafion Membrane Thickness (米m),Electrode Substrate Type,Carbon Paper/Glassy Carbon,Electrode Area cm2,lsv speed (mV/s),Electrolyte pH,FE of Product (CO) at -0.2V (vs.RHE),FE of Product (CO) at -0.3V (vs.RHE),FE of Product (CO) at -0.4V (vs.RHE),FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),FE of Product (CO) at -1V (vs.RHE),FE of Product (CO) at -1.1V (vs.RHE),FE of Product (CO) at -1.2V (vs.RHE),Partial Current Censity (CO) at -0.2V (vs.RHE),Partial Current Censity (CO) at -0.3V (vs.RHE),Partial Current Censity (CO) at -0.4V (vs.RHE),Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Censity (CO) at -1.0V (vs.RHE),Partial Current Censity (CO) at -1.1V (vs.RHE),Partial Current Censity (CO) at -1.2V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) 灰=E-Eo,COㄛ-0.11 eVㄛFormateㄛ-0.011",Overpotential (V),Maximum FE,Partial Current Density at Maximum FE (mA/cm2),Long-term durability(hㄘ,Long-term durability=FE decrease%/奀潔ㄗhㄘ,TOF Reported (h-1),Tafel Slope
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Co-N5/HNPCSs-400,Co,58.93,27,7.81,1.88,63.87,7,126,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,3.82,0,,5,,,,,,,,,0,400,2,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,76.08,89.59,93.15,91.54,74.22,,,,,,,,,2.26,,,,,,-0.7,-0.59,0.59,93.15,2.26,,,,
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Co-N5/HNPCSs-600,Co,58.93,27,7.81,1.88,63.87,7,126,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,3.18,0,,5,,,,,,,,,0,600,2,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,56.24,87.74,90.05,82.15,41.2,,,,,,,,,2.35,,,,,,-0.7,-0.59,0.59,90.05,2.35,,,,
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Co-N5/HNPCSs-800,Co,58.93,27,7.81,1.88,63.87,7,126,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,4.54,0,,5,,,,,,,,,0,800,2,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,8.92,15.73,17.59,8.61,-0.37,,,,,,,,,2.48,,,,,,-0.7,-0.59,0.59,17.59,2.48,,,,
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Co-N5/HNPCSs-1000,Co,58.93,27,7.81,1.88,63.87,7,126,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,8.01,0,,5,,,,,,,,,0,1000,2,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,29.55,40.86,41.34,25.99,10.62,,,,,,,,,1.52,,,,,,-0.7,-0.59,0.59,41.34,1.52,,,,
Local structure tuning in Fe-N-C catalysts through support effect for boosting CO2 electroreduction,10.1016/j.apcatb.2020.118960,axial Fe-N/CN,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,2.68,0,,5,,,39.65578424,11.62171753,9.066713982,0,1.2,,0,700,4,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,87.492,94.292,93.494,77.639,60.604,51.098,,,,,,0.38,2.24,5.1,7.3,8.6,9.79,,,-0.6,-0.49,0.49,95.47,2.24,10,0,,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/HMCS-3-800,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.37,0,4.32,4.5,,,26.7,15.9,57.3,0,1.05,1220,0,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,74.946,83.455,91.964,95.228,95.683,95.228,94.345,,,,,,1.164,3.946,5.202,8.271,10.499,10.554,,-1,-0.89,0.89,95.23,10.5,10,0.123,15550,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/HMCS-2-800,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.44,0,6.28,4,,,32.9,8.9,58.2,0,1.05,924,0,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,76.263,76.861,77.459,85.068,81.264,78.519,62.212,,,,,,0.579,1.824,3.813,5.061,6.11,6.129,,-0.8,-0.69,0.69,85.068,3.813,,,4821,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/HMCS-1-800,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.59,0,5.33,4,,,33.2,10.1,56.6,0,1.05,757,0,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,61.642,73.056,84.47,89.661,85.394,80.367,69.686,,,,,,0.485,2.114,4.484,6.055,6.635,5.858,,-0.8,-0.69,0.69,89.661,4.484,,,4142,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/SMCS-800,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.14,0,6.47,4,,,39.5,7.2,53.3,0,1.05,445,0,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,60.826,70.746,80.666,87.378,92.08,80.36,67.24,,,,,,0.073,0.198,0.579,1.317,1.537,1.933,,-0.9,-0.79,0.79,92.08,1.317,,,5381,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/HMCS-3-700,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.26,0,6.86,4,,,28.8,16.5,54.7,0,1.01,878,0,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,54.309,64.242,74.175,75.822,77.469,49.909,44.524,,,,,,0.363,0.965,1.602,1.784,1.475,2.058,,-0.9,-0.79,0.79,77.469,1.784,,,3656,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/HMCS-3-900,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.31,0,4.63,4,,,25.3,10.8,65.9,0,1.01,1068,0,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,67.291,75.011,82.731,93.475,82.042,78.576,32.822,,,,,,1.166,3.3,6.491,8.316,10.03,6.745,,-0.8,-0.69,0.69,93.475,6.491,,,8676,
Hollow Mesoporous Carbon Sphere Loaded Ni每N4 Single坼Atom Support Structure Study for CO2 Electrocatalytic Reduction Catalyst,10.1002/smll.202003943,Ni/HMCS-3-800-FD,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.42,0,4.44,4,,,32.6,6.7,60.8,0,1.04,1650,1,800,5,2,CO,KHCO3,0,0.5,0.255,nafion 117,177.8,glassy carbon,0,0.785,10,7.2,,,,63.701,66.307,63.701,61.218,57.358,37.1,11.998,,,,,,0.818,2.149,3.499,4.322,3.791,2.022,,-0.6,-0.49,0.49,66.307,0.818,,,919,
Insight into atomically dispersed porous M每N每C single-site catalysts for electrochemical CO2 reduction,10.1039/d0nr03044a,Ni-N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon black derived,0,0,0,0,0,1,0,1.25,0,1.46,3.4,,,41.7,34.2,13.5,10.3,1.02,228,0,1000,1,5,CO,KHCO3,0,0.1,0.58,nafion 117,177.8,carbon paper,1,1,5,6.8,0.91,6.755,37.109,67.922,87.934,95.287,97.091,90.465,71.235,,,0.005,0.058,0.431,1.573,4.957,11.28,16.918,21.373,21.96,,,-0.8,-0.69,0.69,97.091,16.918,24,0.08,20768,
Insight into atomically dispersed porous M每N每C single-site catalysts for electrochemical CO2 reduction,10.1039/d0nr03044a,Fe-N-C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon black derived,0,0,0,0,0,1,0,1.33,0,1.38,3.6,,,40.5,34.1,15.5,8.8,1.03,217,0,1000,1,5,CO,KHCO3,0,0.1,0.58,nafion 117,177.8,carbon paper,1,1,5,6.8,14.135,40.88,84.163,86.722,85.213,81.173,68.676,56.96,45.998,,,0.142,0.578,1.44,2.799,4.55,6.95,8.303,9.211,9.385,,,-0.5,-0.39,0.39,86.722,2.799,24,0.06,2881,
Insight into atomically dispersed porous M每N每C single-site catalysts for electrochemical CO2 reduction,10.1039/d0nr03044a,Co-N-C,Co,58.93,27,7.81,1.88,63.87,7,126,none,carbon black derived,0,0,0,0,0,1,0,1.46,0,1.4,4,,,47.2,35.5,11.5,5.6,1.04,227,0,1000,1,5,CO,KHCO3,0,0.1,0.58,nafion 117,177.8,carbon paper,1,1,5,6.8,5.247,15.482,35.924,49.607,46.752,34.254,25.259,15.482,11.576,,,0.029,0.055,0.2,0.401,0.779,1.035,1.274,1.201,1.353,,,-0.5,-0.39,0.39,49.607,0.401,,,,
Insight into atomically dispersed porous M每N每C single-site catalysts for electrochemical CO2 reduction,10.1039/d0nr03044a,Cu-N-C,Cu,63.546,29,7.69,1.9,119.16,10,138,none,carbon black derived,0,0,0,0,0,1,0,1.34,0,1.1,4,,,40.8,35.5,15.5,11.6,1.01,230,0,1000,1,5,CO,KHCO3,0,0.1,0.58,nafion 117,177.8,carbon paper,1,1,5,6.8,1.799,5.247,8.425,11.118,17.286,21.192,28.706,18.337,10.229,,,0.005,0.019,0.055,0.09,0.191,0.321,0.621,0.618,0.516,,,-0.8,-0.69,0.69,28.706,0.621,,,,
Atomically dispersed Ni species on N-doped carbon nanotubes for electroreduction of CO2 with nearly 100% CO selectivity,10.1016/j.apcatb.2020.118929,Ni/NCTs-50,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,1.68,0,,3.7,,,58.2,18.8,23,0,,648,1,800,5,5,CO,KHCO3,0,0.5,0.35,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,92.37539,94.40578,96.43617,97.10286,97.28469,96.43617,,,,,,,5.08201,12.78374,21.92523,29.19305,34.3,,,-1,-0.89,0.89,96.4,34.3,20,0.32,9366,
Atomically dispersed Ni species on N-doped carbon nanotubes for electroreduction of CO2 with nearly 100% CO selectivity,10.1016/j.apcatb.2020.118929,Ni/NCTs-100,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,1.49,0,,4,,,49.1,23.6,27.3,0,,673,1,800,5,5,CO,KHCO3,0,0.5,0.35,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,84.769,85.61752,86.46604,87.46608,84.58717,79.19299,,,,,,,4.02684,9.86477,16.36341,20.21921,21.54063,,,-0.8,-0.69,0.69,87.5,16.4,,,4919,
Molecular Modification of Single Cobalt Sites Boosts the Catalytic Activity of CO2 Electroreduction into CO,10.1002/cphc.202000576,Co SAs-Pc,Co,58.93,27,7.81,1.88,63.87,7,126,none,carbon black derived,0,0,0,0,0,1,0,0.83,0,,4,,,,,,,,,1,70,3,,CO,KHCO3,0,0.1,4.88,nafion 115,127,carbon paper,1,0.5,10,6.8,,,60.95624,76.49641,87.38255,91.2609,94.8,95.02187,96.23768,95.02187,95.89476,,,0.23033,1.08884,3.32933,6.58537,11.3,,,,,-0.8,-0.69,0.69,94.8,11.3,10,0.43,,57
Molecular Modification of Single Cobalt Sites Boosts the Catalytic Activity of CO2 Electroreduction into CO,10.1002/cphc.202000576,Co SAs,Co,58.93,27,7.81,1.88,63.87,7,126,none,carbon black derived,0,0,0,0,0,1,0,1.22,0,,4,,,,,,,,,1,70,3,,CO,KHCO3,0,0.1,4.88,nafion 115,127,carbon paper,1,0.5,10,6.8,,,2.56309,3.13805,4.88906,5.77764,5.93444,5.77764,,,,,,0.00904,0.00904,0.1383,0.36265,0.69416,,,,,-0.8,-0.69,0.69,5.93444,0.69416,,,,
A Universal Graphene Quantum Dot坼Tethering Design Strategy to Synthesize Single坼Atom Catalysts,10.1002/anie.202008422,Ni1-N/CNT,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene quantum dots,0,0,1,0,0,0,0,3.2,0,7.352055808,5,5.8,82.53058562,47.38,17.67,28.04,6.89,,,1,500,1,20,CO,KHCO3,0,0.1,0.2,nafion 117,177.8,carbon paper,1,1,,6.8,,,,0.01,35.57381,95.06253,95.49309,95.92365,,,,,,,,0.90228,7.33353,17.55161,27.76969,,,,-0.75,-0.64,0.64,98.47,12.89,60,0.203,2003,
A Universal Graphene Quantum Dot坼Tethering Design Strategy to Synthesize Single坼Atom Catalysts,10.1002/anie.202008422,Fe1-N/CNT,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene quantum dots,0,0,1,0,0,0,0,3.2,0,6.113147006,5,7.6,81.20207481,50.28,19.37,20.11,10.23,,,0,500,1,20,CO,KHCO3,0,0.1,0.2,nafion 117,177.8,carbon paper,1,1,,6.8,,,,0.01,11.53434,28.14669,22.94412,17.74155,,,,,,,,0.83881,3.08129,4.08617,5.09105,,,,-0.7,-0.59,0.59,28.14669,3.08129,,,509,
A Universal Graphene Quantum Dot坼Tethering Design Strategy to Synthesize Single坼Atom Catalysts,10.1002/anie.202008422,Co1-N/CNT,Co,58.93,27,7.81,1.88,63.87,7,126,none,graphene quantum dots,0,0,1,0,0,0,0,3.7,0,5.960251017,5,6.1,83.15112304,49.8,21.9,18.39,9.9,,,0,500,1,20,CO,KHCO3,0,0.1,0.2,nafion 117,177.8,carbon paper,1,1,,6.8,,,,0.01,14.54824,34.56918,26.74738,18.92558,,,,,,,,0.48975,3.08129,5.97959,8.87789,,,,-0.7,-0.59,0.59,34.56918,3.08129,,,455,
Electrochemical conversion of CO2 to syngas with a wide range of COH2 ratio over NiFe binary single-atom catalysts,10.1007/s12274-020-2988-1,Ni0.5Fe0.5-NC SAC,Ni,58.693,28,7.61,1.91,111.54,8,121,Fe,glucose/Dicyandiamide derived amorphous carbon,0,0,0,0,0,0,1,2.7,3.3,,4,,,60,14.3,15.09,11.34,1.07,,0,800,2,,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,67.80458,74.55222,79.27131,78.29299,73.2098,62.80058,,,,,,14.6721,15.20997,15.75654,16.11093,16.64251,17.08549,,,-0.76,-0.65,0.65,80,7,,,,
Electrochemical conversion of CO2 to syngas with a wide range of COH2 ratio over NiFe binary single-atom catalysts,10.1007/s12274-020-2988-1,Ni-NC SAC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,glucose/Dicyandiamide derived amorphous carbon,0,0,0,0,0,0,1,2.7,0,,4,,,70,13.19,10.62,11.17,1.04,,0,800,2,,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,60.69811,92.07054,96.25074,97.05225,97.69357,97.87504,,,,,,1.12872,4.07056,8.90091,14.74872,21.40029,28.22708,,,-0.76,-0.65,0.65,98,13,,,,
Electrochemical conversion of CO2 to syngas with a wide range of COH2 ratio over NiFe binary single-atom catalysts,10.1007/s12274-020-2988-1,Fe-NC SAC,Fe,55.845,26,7.83,1.83,14.57,6,125,none,glucose/Dicyandiamide derived amorphous carbon,0,0,0,0,0,0,1,3.9,0,,4,,,52.71,16.17,10.86,20.27,1.08,,0,800,2,,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,52.26069,46.24726,28.79508,17.39652,10.31134,5.31641,,,,,,0.27769,0.53744,0.77634,0.78759,0.99871,0.97066,,,-0.46,-0.35,0.35,52.3,0.3,,,,
Powerful CO2 electroreduction performance with N每carbon doped with single Ni atoms,10.1039/c9cy00363k,Ni NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,"11,11∩-Bis(dipyrido[3,2-a:2∩,3∩-c]phenazinyl) (bidppz) derived amorphous carbon",0,0,0,0,0,0,1,1.25,0,,3.9,,,36.57,18.88,22.25,22.29,0.95,,0,900,3,5,CO,KHCO3,0,0.5,0.5,nafion 115,127,carbon paper,1,1,10,7.2,,,,71,76,85,88,91.2,87,83,,,,,,1.2214568,3.701478,7.5097,12.0293712,15.1267683,18.0509811,,-0.9,-0.79,0.79,91.2,12.0293712,22,,,157
