index_label,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Polymer Derived,Carbon Nanofiber/Nanotubes,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Pyrolysis Temperature (°C),Pyrolysis Time (h),Rising Rate (°C min-1),Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (μm),Carbon Paper/Glassy Carbon,Electrolyte pH,ovpCL
537,7.61,1.91,8,0,0,0,0,32.03,5.94,7.1,39.73561431,46.98289269,0.93,435.9,1000,1.0,10.6608795,0.1,0.833,177.8,1,6.8,1
173,7.61,1.91,8,0,0,0,0,2.181540012,10.18967142,2.0,53.31096592,20.71340279,1.119395763,406.0,900,2.0,3.0,0.5,0.1,177.8,0,7.3,1
391,0.0,0.0,0,1,0,0,0,0.0,11.8797625,0.0,46.8486813,30.20721968,1.04,475.0,900,3.0,5.0,0.1,0.4,177.8,1,6.8,1
54,7.61,1.91,8,0,0,0,0,0.24,3.686837297,4.0,19.87,17.74,1.081130909,680.0,1000,1.0,4.879027022,0.5,0.5,177.8,0,7.2,1
167,7.61,1.91,8,0,0,0,0,2.08994,19.38522,3.6,63.54886542,27.25652703,1.07,422.6,800,2.0,10.0,0.5,0.2,127.0,1,7.2,1
610,7.69,1.9,10,0,0,0,1,5.05,13.84875211,4.1,52.20078666,24.55516014,1.068665599,601.6931657,700,2.0,5.0,0.5,1.0,177.8,1,7.3,0
567,7.83,1.83,6,0,0,0,0,3.0,3.0,4.0,38.7,8.0,1.118621251,430.1,900,2.0,5.0,0.5,1.0,127.0,0,7.2,0
279,7.69,1.9,10,0,0,0,0,1.4,4.776087741,3.7,16.70945418,20.57149235,1.124477534,673.0,900,1.0,5.0,0.1,0.5,177.8,0,6.8,0
450,0.0,0.0,0,0,1,0,0,0.0,2.56,0.0,34.765625,14.453125,1.008,832.0,900,2.0,5.0,0.1,0.5,177.8,1,6.8,1
425,7.83,1.83,6,1,0,0,0,4.58,8.93,4.0,36.54,36.17,1.0,1164.6,900,3.0,5.0,0.5,0.4,127.0,1,7.3,0
123,7.61,1.91,8,1,0,0,0,0.97,7.13340806,4.0,45.7,43.8,0.97,631.0987364,1000,1.0,7.289453898,0.5,0.5,177.8,0,7.2,1
118,7.81,1.88,7,0,0,0,1,1.2,6.572115238,4.0,35.546875,13.21022727,1.162309929,538.8921143,900,2.0,3.0,0.5,0.2,177.8,1,7.2,1
622,7.83,1.83,6,1,0,0,0,0.2,2.9,4.0,44.40184049,18.70398773,1.024,360.1,1000,3.0,3.538486409,1.0,1.0,177.8,1,8.8,1
302,7.61,1.91,8,1,0,0,0,1.019820972,4.587595908,4.3,47.85214785,26.67332667,0.967502515,223.0,1050,1.0,6.741439037,0.1,0.8,177.8,0,6.7,0
117,7.61,1.91,8,0,0,0,1,0.6,7.353218675,4.0,40.16881502,5.69259962,1.152836552,394.137751,900,2.0,3.0,0.5,0.2,177.8,1,7.2,0
492,7.83,1.83,6,0,0,0,1,4.100807592,6.159067341,12.0,36.50793651,27.24867725,1.24,591.6938944,900,2.0,5.0,0.1,0.4,177.8,0,6.8,0
593,7.83,1.83,6,0,0,1,0,7.207207207,15.05791506,4.0,36.22,56.65,1.04,612.94,800,2.0,5.950476851,0.5,1.0,177.8,0,7.2,0
346,0.0,0.0,0,0,0,1,1,0.0,9.40005886,0.0,58.03723599,31.00554441,1.06153799,123.4,550,4.0,3.0,0.1,0.5,177.8,1,6.8,1
248,7.61,1.91,8,0,0,0,0,4.43,3.2,3.5,63.22647272,23.95245106,1.686755979,1564.0,650,2.0,10.0,0.5,2.0,177.8,1,7.2,1
434,0.0,0.0,0,0,0,0,0,0.0,9.499203168,0.0,48.1,27.5,0.89,957.0,900,2.0,5.0,0.1,1.0,177.8,0,6.8,0
43,7.69,1.9,10,0,0,0,1,4.17,5.1,12.0,39.65,46.81,0.98,40.1,900,1.0,5.0,0.1,0.8,50.0,1,6.8,0
99,7.61,1.91,8,1,0,0,0,1.89,7.738822745,3.8,48.59098229,30.07246377,1.280831575,1202.0,1000,2.0,5.0,0.5,0.8,177.8,1,7.2,1
509,7.69,1.9,10,0,1,0,0,1.055565635,1.974237601,4.0,55.0,19.0,2.92,1213.553672,800,3.0,5.0,0.5,1.771739035,177.8,0,7.2,1
203,7.83,1.83,6,0,1,0,0,2.59081336,3.712426963,4.0,24.0,14.0,0.99,103.4,950,0.0,10.0,0.1,1.0,127.0,0,6.8,0
584,7.61,1.91,8,0,0,0,1,4.8,7.9,4.0,54.0,20.0,1.12,709.5907472,900,2.132033779,4.94539236,0.5,1.0,127.0,1,7.2,1
484,0.0,0.0,0,1,0,0,0,0.0,11.2415071,0.0,54.4189648,21.24721642,1.0,1347.0,900,4.0,2.0,0.1,4.0,177.8,1,6.8,2
543,7.83,1.83,6,0,0,0,0,0.71,10.6,3.8,40.14181,11.84868,1.28,279.0,900,2.0,2.0,0.1,1.0,177.8,1,6.8,1
321,0.0,0.0,0,1,0,0,0,0.0,9.448780248,0.0,43.00237208,40.32531345,1.03086179,723.0,900,2.0,5.0,0.5,1.0,177.8,1,7.2,1
196,7.83,1.83,6,1,0,0,0,1.5,5.201444974,4.0,60.53738273,21.3349514,0.895621966,549.5965678,1050,1.0,8.494776994,0.5,1.0,177.8,1,7.2,0
502,7.83,1.83,6,0,0,1,0,1.663482073,4.540856468,12.0,46.83,9.04,1.21,545.5,750,2.0,3.0,0.5,0.3,177.8,0,7.3,1
480,0.0,0.0,0,0,0,0,0,0.0,4.465892361,0.0,33.33333333,33.33333333,1.181401152,1494.0,950,0.5,10.0,0.1,5.0,177.8,0,6.8,1
67,7.61,1.91,8,1,0,0,0,13.12,15.61466589,12.0,46.79,27.52,1.067054256,377.842248,1000,2.0,5.0,0.5,0.737172073,177.8,1,7.0,1
650,7.81,1.88,7,0,0,0,0,0.011,4.709943213,3.6,44.74,34.78,1.024677865,24.0,500,1.0,5.0,0.5,0.7,177.8,0,7.2,0
551,7.69,1.9,10,1,0,0,0,1.02,7.888918341,3.9,55.34003831,0.0,1.09,887.8015291,900,3.0,5.0,0.1,1.0,177.8,1,6.8,1
520,0.0,0.0,0,0,1,0,0,0.0,2.925569382,0.0,22.86123,21.34389,0.972891413,650.8618446,800,2.0,5.0,0.5,0.392588488,177.8,1,6.8,0
287,7.83,1.83,6,1,0,0,0,0.64,10.15,4.0,61.49936468,19.69504447,0.94,705.0,900,4.0,3.0,1.0,2.0,127.0,1,8.8,0
419,0.0,0.0,0,1,0,0,0,0.0,4.3,0.0,27.18894009,12.67281106,1.227,686.0,900,2.0,5.0,0.1,0.5,177.8,0,6.8,1
263,7.61,1.91,8,0,0,0,0,1.65,4.682281347,4.0,35.53190938,8.768789286,1.009520503,334.9,900,3.0,5.0,0.5,0.25,127.0,1,7.2,1
616,7.61,1.91,8,0,0,0,0,1.410734555,1.362088536,4.0,62.47765463,20.96889524,0.944578467,513.8919597,800,1.0,10.0,0.5,1.0,177.8,1,7.3,1
327,7.69,1.9,10,1,0,0,0,2.44,19.50980251,3.0,80.88,10.72,1.42,802.7,800,3.0,5.0,0.1,1.5,127.0,1,6.8,1
505,0.0,0.0,0,0,0,1,0,0.0,7.852381727,0.0,9.8,55.9,0.63,473.9422623,1060,1.730116869,7.920847189,0.1,1.41035047,177.8,1,6.8,0
626,7.81,1.88,7,0,0,0,0,1.6,5.051205294,4.0,42.3580786,10.91703057,1.02,779.0,900,3.0,3.0,0.1,0.2,177.8,1,6.8,1
615,0.0,0.0,0,0,1,0,0,0.0,4.506810252,0.0,16.5,3.94,1.02,160.0,1000,1.0,1.0,0.5,4.0,177.8,1,7.3,0
5,7.69,1.9,10,1,0,0,0,1.43,4.82,4.0,49.51,17.07,0.94,459.0,800,2.0,5.333,0.5,0.3,127.0,1,7.2,0
658,7.61,1.91,8,0,1,0,0,0.46,3.05,4.13,29.47316941,10.28352081,1.03,614.0,1000,4.0,3.69362502,0.5,0.217391304,177.8,1,7.3,1
332,7.83,1.83,6,0,0,0,1,1.2,3.38488143,4.7,17.88255664,14.97286683,1.38,769.603795,1000,1.0,5.0,0.1,0.2,177.8,0,6.8,0
330,7.69,1.9,10,1,0,0,0,1.98,4.813460132,4.0,37.42,16.83,1.1,1347.1,1100,3.0,5.0,0.1,1.5,127.0,1,6.8,1
322,7.61,1.91,8,1,0,0,0,3.882317736,8.665522184,4.1,47.6723306,25.60497416,1.047210139,741.0,900,2.0,5.0,0.5,1.0,177.8,1,7.2,2
475,0.0,0.0,0,0,0,0,1,0.0,12.59,0.0,43.0,0.0,1.11,126.0,900,1.0,2.596581592,0.1,0.8,127.0,1,6.8,1
291,7.83,1.83,6,0,0,0,0,0.931278099,4.046242775,3.8,49.5,36.9,0.948667068,199.25331,900,1.0,30.0,0.1,0.75,50.0,0,6.8,0
400,0.0,0.0,0,1,0,0,0,0.0,1.53,0.0,41.44736842,39.47368421,0.97,1679.5,1000,1.0,2.0,0.5,0.1,127.0,1,7.2,0
481,0.0,0.0,0,0,0,0,0,0.0,4.149895473,0.0,34.21052632,32.89473684,1.189310958,1440.0,950,0.5,10.0,0.1,5.0,177.8,0,6.8,1
488,7.83,1.83,6,0,0,0,0,0.8,5.5,4.0,50.7,13.3,1.41,525.9,900,2.0,5.0,0.1,0.57,50.8,0,6.8,0
231,7.83,1.83,6,0,0,0,0,0.33,4.903229477,4.0,38.8,28.9,0.953101416,448.0,975,0.75,10.41664716,0.1,0.4,177.8,0,7.5,0
180,7.61,1.91,8,0,0,1,0,22.7,18.7,3.8,76.27180233,0.0,1.055160095,377.4954524,800,1.0,5.0,0.5,1.0,177.8,1,7.2,1
448,0.0,0.0,0,0,1,0,0,0.0,3.35,0.0,18.50746269,4.47761194,0.969,1013.0,1000,2.0,5.0,0.1,0.5,177.8,1,6.8,1
131,7.4,1.55,5,0,0,0,0,0.14,3.9,3.9,24.51493167,17.60587144,1.117249205,452.0,900,1.0,3.0,0.5,0.5,177.8,1,7.2,1
411,7.83,1.83,6,1,0,0,0,1.02,4.69,4.0,56.50319829,22.17484009,0.99,1162.0,900,2.0,3.0,1.0,2.0,127.0,1,8.8,0
422,0.0,0.0,0,0,0,0,0,0.0,5.0,0.0,37.2596312,13.93864977,0.89,85.0,800,4.0,3.844980394,0.5,0.649841032,177.8,0,7.3,1
447,0.0,0.0,0,0,1,0,0,0.0,4.52,0.0,36.28318584,11.28318584,0.959,1511.0,900,2.0,5.0,0.1,0.5,177.8,1,6.8,1
623,9.5,2.55,0,0,0,0,0,1.31,3.8,4.2,26.65463297,0.0,1.01280346,645.0,1000,1.0,5.0,0.1,1.0,177.8,1,6.8,0
601,7.61,1.91,8,0,0,0,0,0.244,2.27,3.9,61.23348018,26.43171806,1.0,1515.0,1000,1.0,5.0,0.1,1.0,25.0,1,8.0,1
247,7.61,1.91,8,0,0,0,0,3.95,4.8,3.5,63.22647272,23.95245106,1.67643275,1564.0,650,2.0,10.0,0.5,2.0,177.8,1,7.2,1
264,7.83,1.83,6,1,0,0,0,0.11,8.01,4.0,68.15028581,11.16044176,1.04,347.2,950,2.0,4.269489743,0.5,1.0,177.8,1,7.2,0
164,7.69,1.9,10,0,0,0,0,1.14,7.827835615,4.0,50.80418936,22.95276944,1.042396734,409.8343894,800,2.0,5.0,0.1,0.5,177.8,1,6.8,0
566,7.83,1.83,6,0,0,0,0,3.9,3.9,4.0,44.4,4.7,1.117339337,579.5,900,2.0,5.0,0.5,1.0,127.0,0,7.2,0
435,0.0,0.0,0,0,0,0,0,0.0,9.046276646,0.0,44.1,29.9,0.89,899.0,900,2.0,5.0,0.1,1.0,177.8,0,6.8,0
406,0.0,0.0,0,0,0,0,1,0.0,4.68,0.0,17.46724891,14.41048035,1.063640768,235.8,700,2.62593957,3.692051069,0.5,0.2,177.8,1,7.3,0
55,7.61,1.91,8,0,0,0,0,1.08,5.762991436,3.7,12.94,24.29,1.01,405.6,800,3.0,5.0,0.5,0.5,127.0,1,7.2,1
283,7.83,1.83,6,1,0,0,0,2.04,9.51,4.0,72.55520505,18.29652997,1.02,724.2,900,4.0,3.0,1.0,2.0,127.0,1,8.8,0
45,7.61,1.91,8,1,0,0,0,1.53,4.674202544,3.2,34.77,8.53,0.98,720.7898989,1000,2.0,10.0,0.5,0.2,127.0,1,7.2,2
644,7.81,1.88,7,0,0,0,0,2.15,1.03,8.0,26.11650485,3.203883495,1.07,308.4339694,900,2.5,5.0,0.1,0.729393284,177.8,1,6.8,1
361,7.83,1.83,6,0,1,0,0,2.6,3.825766306,4.0,25.0,19.0,1.08,639.0,900,3.0,3.870799424,0.1,0.2,127.0,1,6.8,0
256,7.61,1.91,8,0,1,0,0,1.392,2.8,2.2,16.37870651,26.02148027,1.045503428,242.0,900,3.0,4.241535237,0.1,0.676186133,177.8,1,6.8,1
251,7.61,1.91,8,0,0,1,0,23.0,17.3,3.8,68.41995036,23.90219237,0.91970594,286.0295932,700,3.0,5.0,0.5,1.0,177.8,1,7.2,1
642,7.61,1.91,8,0,0,0,0,0.15,5.005154666,2.552,42.39715965,0.0,1.01,549.520729,900,1.725938974,4.935307124,0.1,0.5,177.8,1,6.8,1
455,0.0,0.0,0,0,0,1,0,0.0,4.9,0.0,22.51481752,6.498751939,0.78,749.30033,850,1.550922805,7.111327689,0.1,0.5,50.0,1,6.8,2
17,7.61,1.91,8,0,0,0,0,0.59,5.33,4.0,33.2,10.1,1.05,757.0,800,5.0,2.0,0.5,0.255,177.8,0,7.2,1
561,7.83,1.83,6,0,0,0,0,1.35,8.678522853,12.0,34.19630615,16.82393741,1.07287687,286.3,900,1.0,6.536066084,0.5,1.0,127.0,0,7.2,0
310,7.61,1.91,8,1,0,0,0,5.32,7.674559146,3.83,54.4,16.7,1.065863632,914.801657,1000,3.0,5.0,0.5,3.0,177.8,1,7.33,1
39,7.81,1.88,7,1,0,0,0,0.25,15.8146,2.2,54.51531953,24.36164919,1.083012286,651.3157736,1000,3.0,5.0,0.5,0.8,127.0,1,6.8,1
557,7.83,1.83,6,0,0,0,0,1.33,7.46479067,4.0,44.97,10.46,1.076426567,364.5,900,1.0,5.852921608,0.5,1.0,127.0,0,7.2,0
143,7.69,1.9,10,0,0,0,0,2.1,3.79,4.0,43.4,25.8,1.028404816,326.1994934,900,0.0125,5.900555195,0.1,0.3,177.8,0,6.8,1
88,9.35,1.65,10,0,0,0,0,1.640685336,6.067461187,3.58418,54.5112782,31.43072176,0.79,647.2984663,800,1.0,8.928576743,0.5,2.0,177.8,1,7.2,0
109,7.83,1.83,6,1,0,0,0,0.51,4.09,3.0,32.18673219,21.86732187,1.129001937,1298.0,1000,2.0,5.285144231,0.5,1.0,177.8,1,7.2,0
301,7.81,1.88,7,1,0,0,0,1.098371712,4.833477856,3.8,49.4,30.0,0.975127727,283.0,1050,1.0,6.432833635,0.1,0.8,177.8,0,6.7,0
595,7.69,1.9,10,0,0,0,0,4.7,6.24011097,4.0,44.78981241,39.10036971,1.267342709,530.2670537,900,1.0,3.0,0.1,0.346793441,177.8,0,6.8,1
185,7.61,1.91,8,1,0,0,0,2.07,7.29,2.7,53.6351166,29.76680384,1.03488809,923.0,1000,4.0,3.0,1.0,2.0,127.0,1,8.8,1
437,0.0,0.0,0,0,0,0,0,0.0,9.046276646,0.0,44.1,29.9,0.89,899.0,900,2.0,5.0,0.1,0.5,177.8,0,6.8,0
474,0.0,0.0,0,0,0,0,1,0.0,4.071082391,0.0,26.7,61.4,0.99,1269.0,700,1.5,4.0,0.5,0.07,177.8,0,7.2,1
139,0.0,0.0,0,0,0,0,1,0.0,7.440956733,0.0,29.78993536,48.59187442,0.98,200.0,900,1.0,3.0,0.5,0.1,177.8,1,7.2,0
479,7.61,1.91,8,0,1,0,0,2.9,3.953571223,3.6,31.28190584,25.68065797,1.01,265.0,900,2.0,3.982585154,0.5,1.0,177.8,1,7.3,1
190,7.61,1.91,8,1,0,0,0,5.44,10.35,2.4,53.71980676,29.75845411,1.060208987,871.0,1000,4.0,3.0,1.0,0.088,127.0,1,8.8,1
103,0.0,0.0,0,1,0,0,0,0.0,5.41,0.0,42.51386322,11.46025878,1.008561022,623.2403505,1000,2.0,4.914007434,0.5,1.0,177.8,1,7.2,0
232,7.81,1.88,7,0,0,0,0,0.37,4.703854065,4.0,38.5,31.5,1.019225421,660.0,975,0.75,5.821192682,0.1,0.4,177.8,0,7.5,0
389,7.69,1.9,10,1,0,0,0,1.4,6.394900491,4.0,46.83293657,36.57863706,0.983265349,653.9103078,1050,1.0,5.0,0.1,2.0,177.8,1,6.8,0
206,7.83,1.83,6,0,1,0,0,1.458713195,2.291780881,8.0,29.5,5.5,1.099537009,480.5,950,0.667,10.0,0.1,1.0,127.0,0,6.8,0
575,7.61,1.91,8,0,0,0,0,5.92,16.88,4.3,19.21556704,23.90290869,1.01,298.0,900,1.0,2.5,0.5,0.5,177.8,1,7.3,1
416,0.0,0.0,0,0,0,0,0,0.0,6.5261,0.0,63.22550988,24.64320191,0.79,522.9401204,800,1.0,9.495162912,0.1,0.4,177.8,1,6.8,0
171,7.61,1.91,8,0,0,0,0,5.0164692,3.699912124,4.0,41.26935925,23.53477073,1.052093871,250.0,900,2.0,3.0,0.5,0.1,177.8,0,7.3,1
599,7.61,1.91,8,0,0,1,0,5.744624203,5.349955365,4.0,56.65582,33.72075,1.169174915,695.8306577,600,0.5,2.0,0.5,0.618533518,127.0,1,7.2,1
370,0.0,0.0,0,0,0,1,0,0.0,0.98,0.0,79.6,20.4,0.744,543.6023474,300,3.0,5.0,0.5,0.3537,177.8,0,7.3,1
275,0.0,0.0,0,0,0,0,0,0.0,1.83089,0.0,29.41815466,39.45617489,2.8,327.0,700,3.0,3.135616437,0.5,0.589,177.8,0,7.5,2
473,7.61,1.91,8,0,0,1,0,2.099893798,3.908537959,4.0,33.54,6.66,1.03,369.4,1000,2.0,2.0,0.5,0.2,177.8,0,7.3,1
603,7.61,1.91,8,0,0,0,0,0.121,3.03,4.2,57.42574257,27.06270627,1.04,1585.0,1000,1.0,5.0,0.1,1.0,25.0,1,8.0,0
399,7.69,1.9,10,1,0,0,0,0.51,3.15,3.0,50.0,42.99363057,0.98,1075.0,1000,1.0,2.0,0.5,0.1,127.0,1,7.2,0
38,7.81,1.88,7,1,0,0,0,0.63,9.029628337,4.0,43.16,27.81,0.91,731.7803518,900,3.0,5.220839802,0.1,2.0,127.0,1,6.8,1
531,7.83,1.83,6,0,0,0,0,0.36,7.89,3.95,53.3,15.1,1.28,469.3659072,900,2.0,3.230077741,0.1,0.746364288,177.8,1,6.8,0
382,0.0,0.0,0,0,0,1,0,0.0,9.52,0.0,25.1,47.5,0.47,246.0,800,1.0,9.689099831,0.1,2.0,177.8,1,6.8,1
386,0.0,0.0,0,0,0,1,0,0.0,9.61,0.0,27.5,45.4,0.58,255.0,800,1.0,9.517779536,0.1,2.0,177.8,1,6.8,0
16,7.61,1.91,8,0,0,0,0,0.44,6.28,4.0,32.9,8.9,1.05,924.0,800,5.0,2.0,0.5,0.255,177.8,0,7.2,1
304,9.35,1.65,10,1,0,0,0,2.77294826,5.070993915,4.1,50.14985015,26.47352647,1.024666886,233.0,1050,1.0,5.662779782,0.1,0.8,177.8,0,6.7,0
189,7.61,1.91,8,1,0,0,0,5.03,10.75,2.7,63.34883721,21.30232558,0.998882312,775.0,900,4.0,3.0,1.0,2.0,127.0,1,8.8,1
94,7.83,1.83,6,1,0,0,0,2.358814426,4.95598705,4.4,41.42857143,13.98221931,0.93,622.18399,900,1.0,10.0,0.1,0.4,127.0,1,6.8,0
83,7.61,1.91,8,0,0,0,0,6.9,8.424053575,2.0,47.52570273,39.00275896,2.57,442.8072677,800,1.0,2.679615136,0.5,0.5,177.8,1,7.2,1
281,7.83,1.83,6,1,0,0,0,1.78,6.91,4.0,56.43994211,25.03617945,1.05,817.7,900,4.0,3.0,1.0,2.0,127.0,1,8.8,0
169,7.61,1.91,8,0,0,0,0,0.37599,6.40078,3.9,45.22917583,26.82011353,0.94,814.3,1000,2.0,10.0,0.5,0.2,127.0,1,7.2,1
564,7.83,1.83,6,0,0,0,0,2.7,2.7,4.0,44.4,4.7,1.11747328,561.273538,900,2.0,5.0,0.5,1.0,127.0,0,7.2,0
478,0.0,0.0,0,0,0,0,1,0.0,7.22,0.0,45.0,0.0,1.17,119.0,1000,1.0,2.873079387,0.1,0.8,127.0,1,6.8,0
7,7.81,1.88,7,0,0,0,0,3.54,5.382165047,5.0,20.901,41.239,1.279560547,568.0,25,24.0,2.0,0.2,0.3,177.8,1,7.0,1
541,0.0,0.0,0,0,0,0,0,0.0,10.8,0.0,38.54599,11.12816,1.176213884,258.0,900,2.0,2.0,0.1,1.0,177.8,1,6.8,1
313,7.83,1.83,6,0,0,1,0,2.5,1.63,4.7,67.0,16.0,1.002570836,140.0,900,1.0,6.890985324,0.1,0.8,127.0,1,6.8,1
609,7.83,1.83,6,0,0,0,1,5.49,19.35840708,4.1,50.44396448,34.38924886,1.032048126,472.9299384,700,2.0,5.0,0.5,1.0,177.8,1,7.3,0
583,7.83,1.83,6,0,0,0,1,4.7,6.7,4.0,56.0,20.0,1.1,825.7289563,900,1.967713969,4.933231485,0.5,1.0,127.0,1,7.2,0
621,7.83,1.83,6,1,0,0,0,0.2,2.9,4.0,44.40184049,18.70398773,1.024,360.1,1000,3.0,3.71892041,0.5,1.0,177.8,1,7.2,0
445,7.61,1.91,8,0,1,0,0,2.72,1.71,4.0,24.56140351,11.11111111,0.847,732.0,800,2.5,5.0,0.1,1.0,177.8,1,6.8,1
47,7.61,1.91,8,0,0,0,0,2.013,7.33,4.0,54.27159929,19.15167018,1.106360812,579.8235931,750,3.0,4.308834122,0.5,1.0,177.8,1,7.2,1
20,7.61,1.91,8,0,0,0,0,0.31,4.63,4.0,25.3,10.8,1.01,1068.0,800,5.0,2.0,0.5,0.255,177.8,0,7.2,1
486,7.83,1.83,6,1,0,0,0,0.856793146,10.70991432,4.4,52.17496108,27.93663213,1.01,1050.0,900,4.0,2.0,0.5,4.0,177.8,1,7.3,1
384,0.0,0.0,0,0,0,1,0,0.0,9.33,0.0,27.1,46.1,0.52,241.0,800,1.0,9.551519057,0.1,2.0,177.8,1,6.8,0
476,0.0,0.0,0,0,0,0,1,0.0,20.02,0.0,55.0,0.0,1.28,90.0,800,1.0,2.09677988,0.1,0.8,127.0,1,6.8,0
286,7.83,1.83,6,1,0,0,0,0.27,10.15,4.0,59.21938089,20.86137281,0.94,705.0,900,4.0,3.0,1.0,2.0,127.0,1,8.8,0
442,7.61,1.91,8,0,0,0,0,2.502516899,5.268708951,4.0,27.47252747,33.66633367,0.88,665.1,900,2.0,5.0,0.1,0.5,177.8,1,6.8,1
307,7.81,1.88,7,1,0,0,0,0.9,7.692344328,3.8,34.57403924,45.43133566,1.04,692.0,900,2.0,3.0,0.1,0.32,177.8,0,6.8,0
49,7.69,1.9,10,0,0,0,0,2.221241379,7.33,4.0,47.94932106,22.75102442,1.109533618,438.1264455,750,3.0,4.097252344,0.5,0.2,177.8,0,7.2,0
513,0.0,0.0,0,0,0,0,0,0.0,5.163621961,0.0,33.23,32.31,1.03,1000.0,910,3.0,2.0,1.0,1.0,177.8,1,8.8,0
408,0.0,0.0,0,0,0,0,1,0.0,5.79,0.0,12.4567474,12.28373702,1.150718778,235.8,600,2.707791927,3.964763627,0.5,0.2,177.8,1,7.3,0
376,0.0,0.0,0,0,0,1,0,0.0,8.26,0.0,41.8,0.0,0.91,546.0,900,0.985984464,9.148714324,0.1,5.0,177.8,1,6.8,1
